-- initial wave,, ,, ,
ok,ThoMar-DetAccRegFuzLang, ,"M.G. Thomason, P.N. Marinos", ,Deterministic acceptors of regular fuzzy languages
--,-- BaiTri-PattRecUsiTemFuzzAut, ,, ,
ok,Rab-TutHidMArModSelAppSpeRec, ,L.R. Rabiner, ,A tutorial on hidden Markov models and selected applications in speech recognition
ok,KosJuhMer-SynRecEcgSigAttFinAut, ,"A. Koski, M. Juhola, M. Meriste", ,Syntactic recognition of ECG signals by attributed finite automata
ok,MorTak-AutCosFsaLanModSpeRec+, ,"T. Morimoto, S. Takahashi", ,Automatic construction of FSA language model for speech recognition by FSA DP-matching
already done,MorMal-FuzzyAutAndLang, ,"J.N. Mordeson, D.S. Malik", ,Fuzzy Automata and Languages: Theory and Applications
already done,WeeFu-FormFuzAutAppModLeaSys, ,"W.G. Wee, K.S. Fu", ,A formulation of fuzzy automata and its application as a model of learning systems
already done,VirZim-FuzzAutFuzzRel, ,"Jernej Virant, Niko Zimic", ,Fuzzy automata with fuzzy relief
ok,SteAdl-CliMonFuzAut, ,"F. Steimann, K.P. Adlassnig", ,Clinical monitoring with fuzzy automata
ok,Rey-IntFuzStaAut, ,L. Reyneri, ,An introduction to fuzzy state automata
already done,Ast+-FuzzAutEpsMovCmpFuzzMeasBtwStrs, ,"J. Astrain, J.R. González de Mendívil, J.R. Garitagoitia", ,Fuzzy automata with $\epsilon$-moves compute fuzzy measures between strings
ok,KemAda-SeqPatRecEmpRecFuzSys, ,"R. Kempf, J. Adamy", ,Sequential pattern recognition employing recurrent fuzzy systems
already done,Rig-FauDetIsoBasFuzzAut, ,Gerasimos G. Rigatos, ,Fault detection and isolation based on fuzzy automata
not found,TumBelRop-SynMetAutDiag+, ,"M.B. Tumer, L.A. Belfore, K.M. Ropella", ,A syntactic methodology for automatic diagnosis by analysis of continuous time measurements using hierarchical signal representation
already done,DooKre-NewDirFuzzAut, ," Mansoor Doostfatemeh, , Stefan C. Kremer", ,New directions in fuzzy automata
ok,MorGar+-DicLigIndMetSys, ,Juan Moreno-Garcia;Luis Jimenez Linares; Jose Jesus Castro-Schez; Luis Rodriguez Benitez, ,A direct linguistic induction method for systems
ok,Rus-AppClu, ,E.H. Ruspini, ,A new approach to clustering
--,-- Bel-DetAndFuzzAut, ,, ,
already done,KliYu-FuzSetFuzLogTheApp, ,"G. Klir, B. Yuan", ,Fuzzy Sets and Fuzzy Logic: Theory and Applications
ok,Moc-FuzNonDetAut, ,J. Mo?ko?, ,Fuzzy and non-deterministic automata
already done,San-MaxAut, ,E.S. Santos, ,Maximin automata
already done,WeeFu-FormFuzAutAppModLeaSys, ,"W.G. Wee, K.S. Fu", ,A formulation of fuzzy automata and its application as a model of learning systems
--,-- Bel-DoExaShaFuzzSetMatt, ,, ,
ok,Zad-ConLingVarAppApprRea, ,"Zadeh, L.A", ,The concept of a linguistic variable and its application to approximate reasoning
--,-- BlaDelPeg-FuzzAutIndUsNeuNet, ,, ,
ok,Koh-SelOrgMap, ,T. Kohonen, ,The self-organizing map
already done,Dub-FuzSetSysTheApp, ,Didier J. Dubois, ,Fuzzy Sets and Systems: Theory and Applications
not found,AmiSan-FuzGraSinRecSkeMatXra, ,"P. Amita, K.P. Sankar", ,Fuzzy grammars in sintactic recognition of skeletal maturity from X-rays
ok,GilOmlTho-EquKnoRep+, ,C. LEE GILES; CHRISTIAN W. OMLIN; KARVEL K. THORNBER, ,"Equivalence in knowledge representation: automata, recurrent neural networks, and dynamical fuzzy systems"
ok,OmlThoGil-RepFuzFinStaAuConRecNeuNet, ,"C. Omlin, K.K. Thornber, C. Giles", ,Representation of fuzzy finite-state automata in continuous recurrent neural networks
already done,GilOmlTho-EquKnoRep+, ,C. LEE GILES; CHRISTIAN W. OMLIN; KARVEL K. THORNBER, ,"Equivalence in knowledge representation: automata, recurrent neural networks, and dynamical fuzzy systems"
already done,ThoMar-DetAccRegFuzLang, ,"M. Thomason, P. Marinos", ,Deterministic acceptors of regular fuzzy languages
not found,AleArtKaiShe-LexAnaSimFinFuzAutMod, ,"M. Alexandre, S. Arto, S. Kai, Y. Sheng", ,Lexical analysis with a simple finite-fuzzy-automaton  model
already done,HopUl-IntrAutTheLangComp, ,"J.E. Hopcroft, J.D. Ullman", ,"Introduction to Automata Theory, Languages, and Computation"
not found,LalJau-FuzAutDetQuaFuzArtLesArt, ,"A. Lalande, M. Jaulent", ,A fuzzy automaton to detect and quantify fuzzy artery lesions from arteriograms
ok,Gil+-LeaExtFinStaAutSecOrdRecNeuNet, ,"C.L. Giles, C.B. Miller, D. Chen, H.H. Chen, G.Z. Sun, Y.C. Lee", ,Learning and extracting finite state automata with second-order recurrent neural networks
--,-- BlaDelFlo-MethIndFuzzAutUsNeuNet, ,, ,
already done,Gil+-LeaExtFinStaAutSecOrdRecNeuNet, ,"Giles, C.L., Miller, C.B., Chen, D.,Chen, H.H.,Sun, G.Z., and Lee, Y.C", ,Learning and extracting finite state automata with second-order recurrent neural networks
already done,GilOmlTho-EquKnoRep+, ,C. LEE GILES; CHRISTIAN W. OMLIN; KARVEL K. THORNBER, ,"Equivalence in knowledge reprepresentation: automata, recurrent neural networks, and dynamical fuzzy systems and Dynamical Fuzzy Systems"
--,-- DarAhmSin-AppFuzzAutTheKnBsNeuNetDevBasLeaMod, ,, ,
ok,Adl-FuzSetTheMedDia, ,K.P. Adlassing, ,Fuzzy set theory in medical diagnosis
ok,Coi-IntMonConDynPhySys, ,E. Coiera, ,Intelligent monitoring and control of dynamic physiological systems
ok,WufQin-FuzAutSysApp, ,"Wuf, E. Qing", ,Fuzzy automata system with application
--,-- DooKre-NewDirFuzzAut, ,, ,
ok,Arb-AutTheBraThe, ,M.A. Arbib, ,From automata theory to brain theory
ok,Ash-DesBra, ,W.R. Ashby, ,Design for a brain
ok,Bur-LogBioAutSomHistRef, ,A.W. Burks, ,"Logic, biology and automata—some historical reflections"
ok,MccPit-LogCalIdeImmNerAct, ,"W.S. McCulloch, W. Pitts", ,A logical calculus of the ideas immanent in nervous activity
ok,Min-ComFinInfMach, ,M.L. Minsky, ,Computation: Finite and Infinite Machines
ok,AshWitWen-TraFinStaImpPrcPriDes, ,"D. Ashlock, A. Wittrock, T. Wen", ,Training finite state machines to improve PCR primer design
ok,MacSha-RefDomTheExprFinStaAut, ,"R. Maclin, J. Shavlik", ,Refining domain theories expressed as finite-state automata
not found,Zad-ConStaSysThe, ,L.A. Zadeh, ,The concept of state in system theory
ok,KicLem-AppFuzConWarWatPla, ,"W.J.M. Kickert, H. van Nauta Lemke", ,Application of a fuzzy controller in a warm water plant
ok,MenLip-FusSpecFinStaMach, ,"S. Mensch, H. Lipp", ,Fuzzy specification of finite-state machines
already done,MorMal-FuzzyAutAndLang, ,"J.N. Mordeson, D.S. Malik", ,"Fuzzy Automata and Languages, Theory and Application"
already done,PatPal-FuzGraSynRecSkeMatXra, ,"A. Pathak, S. Pal", ,Fuzzy grammars in syntactic recognition of skeletal maturity from x-rays
ok,Sen-FuzComGraIntIntDes, ,H. Senay, ,Fuzzy command grammars for intelligent interface design
