	Rey-IntFuzStaAut	L. Reyneri	An introduction to fuzzy state automata	 
	KemAda-SeqPatRecEmpRecFuzSys	R. Kempf, J. Adamy	Sequential pattern recognition employing recurrent fuzzy systems	 
	MorGar+-DicLigIndMetSys	Juan Moreno-Garcia;Luis Jimenez Linares; Jose Jesus Castro-Schez; Luis Rodriguez Benitez	A direct linguistic induction method for systems	 
	Rus-AppClu	E.H. Ruspini	A new approach to clustering	 
	Moc-FuzNonDetAut	J. Močkoř	Fuzzy and non-deterministic automata	 
	Zad-ConLingVarAppApprRea	Zadeh, L.A	The concept of a linguistic variable and its application to approximate reasoning	 
	Koh-SelOrgMap	T. Kohonen	The self-organizing map	 
	GilOmlTho-EquKnoRep+	C. LEE GILES; CHRISTIAN W. OMLIN; KARVEL K. THORNBER	Equivalence in knowledge representation: automata, recurrent neural networks, and dynamical fuzzy systems	 
	OmlThoGil-RepFuzFinStaAuConRecNeuNet	C. Omlin, K.K. Thornber, C. Giles	Representation of fuzzy finite-state automata in continuous recurrent neural networks	 
	FriKla-CliMonFuzAut	S. Friedrich, P.A. Klaus	Clinical monitoring with fuzzy automata	 
	Gil+-LeaExtFinStaAutSecOrdRecNeuNet	C.L. Giles, C.B. Miller, D. Chen, H.H. Chen, G.Z. Sun, Y.C. Lee	Learning and extracting finite state automata with second-order recurrent neural networks	 
	Adl-FuzSetTheMedDia	K.P. Adlassing	Fuzzy set theory in medical diagnosis	 
	Coi-IntMonConDynPhySys	E. Coiera	Intelligent monitoring and control of dynamic physiological systems	 
	WufQin-FuzAutSysApp	Wuf, E. Qing	Fuzzy automata system with application	 
	Arb-AutTheBraThe	M.A. Arbib	From automata theory to brain theory	 
	Ash-DesBra	W.R. Ashby	Design for a brain	 
	Bur-LogBioAutSomHistRef	A.W. Burks	Logic, biology and automata—some historical reflections	 
	MccPit-LogCalIdeImmNerAct	W.S. McCulloch, W. Pitts	A logical calculus of the ideas immanent in nervous activity	 
	Min-ComFinInfMach	M.L. Minsky	Computation: Finite and Infinite Machines	 
	AshWitWen-TraFinStaImpPrcPriDes	D. Ashlock, A. Wittrock, T. Wen	Training finite state machines to improve PCR primer design	 
	MacSha-RefDomTheExprFinStaAut	R. Maclin, J. Shavlik	Refining domain theories expressed as finite-state automata	 
	KicLem-AppFuzConWarWatPla	W.J.M. Kickert, H. van Nauta Lemke	Application of a fuzzy controller in a warm water plant	 
	MenLip-FusSpecFinStaMach	S. Mensch, H. Lipp	Fuzzy specification of finite-state machines	 
	Sen-FuzComGraIntIntDes	H. Senay	Fuzzy command grammars for intelligent interface design	 
	PedGac-LeaFuzzAut	W. Pedrycz, A. Gacek	Learning of fuzzy automata	 
	Rei-FuzAutLif	C.A. Reiter	Fuzzy automata and life	 
	SriTiw-TopoFuzAut	A.K. Srivastava, S.P. Tiwari	A topology for fuzzy automata	 
	BlaDelPeg-FuzzGraIntUsiNeuNet	A. Blanco, M. Delgado, M. Pegalajar	Fuzzy grammar inference using neural networks	 
	Kle-RepEveNervNetFinAut	S.C. Kleene	Representation of events in nerve nets and finite automata	 
	Eil-AutLangMach	S. Eilenberg	Automata, Languages, and Machines	 
	GecSte-TreeAut	F. Gécseg, M. Steinby	Tree Automata	 
	BerReu-RecForPowSerTre	J. Berstel, C. Reutenauer	Recognizable formal power series on trees	 
	NasHon-FuzEveReaProbAut	M. Nasu and N. Honda	Fuzzy events realized by probabilistic automata	 
	ThoMar-DetAccRegFuzLang	M.G. Thomason, P.N. Marinos	Deterministic acceptors of regular fuzzy languages	 
	Bel-DetFuzAut	R. Bělohlávek	Determinism and fuzzy automata	 
	Com+-TreeAutTecApp	Comon H.,Dauchet M.,Gilleron R.,Jacquemard F., Lugiez D.,Loding C.,Tison S., and Tommasi M.	Tree Automata: techniques and apllications	 
	Qin+-StaFusFuzAutAppTarTra	Qing E. W. , Wang T., Huang Y. X. , Li J. S.	State fusion of fuzzy automata with application on target tracking	 
	San-FuzAutLang	E.S. Santos	Fuzzy automata and languages	 
	LinYin-ModConFuzDisEveSys	F. Lin, H. Ying	Modeling and control of fuzzy discrete event systems	 
	MalMor-FuzRegLang	D.S. Malik, J.N. Mordeson	On fuzzy regular languages	 
	Zad-FuzLangTheRelHumMachInt	L.A. Zadeh	Fuzzy languages and their relation to human and machine intelligence	 
	Kra-ArcIntCelAut	Krawczyk, R.J	Architectural Interpretation of Cellular Automata	 
	BleCec+-ModUrbDynCellAut	Blecic, I., Cecchini, A., Prastacos, P., Trunfio, G.A., Verigos, E.	Modelling Urban Dynamics with Cellular Automata	 
	Dra-CouFuzSetTheGisBaCelAutLanUseChaMod	Dragicevic, S.	Coupling Fuzzy Sets Theory and GIS-based Cellular Automata for Land Use Change Modeling	 
	LiuPhi-DevCelAutModUrbGroIncFuzSetApp	Liu, Y., Phinn, S.R.	Developing a Cellular Automaton Model of Urban Growth Incorporating Fuzzy Set Approaches.	 
	ManHatPra-FuzCelAutBasSheModUrGro+	Mantelas, L., Hatzichristos, T., Prastacos, P	A Fuzzy Cellular Automata Based Shell for Modeling Urban Growth – A Pilot Application in Mesogia Area	 
	ManHatPra-ModUrbGroUsFuzCelAut	Mantelas, L., Hatzichristos, T., Prastacos, P	Modeling Urban Growth using Fuzzy Cellular Automata	 
	ClaHopHay-SelModCelAutModHistUrbSanFraBayAre	Clarke, K.C., Hoppen, S., Gaydos, L.	A Self-Modifying Cellular Automaton Model of Historical Urbanization in the San Francisco Bay Area	 
	Rab-HanMathLog	M. O. Rabin	Handbook of mathematical logic	 
	Tho-HanTheComSci	W. Thomas	Handbook of theoretical computer science	 
	BelKalZad-AbsPatClas	Bellman, R.E., Kalaba, R., and Zadeh, L.A.,	Abstract pattern classification	 
	BelZad-DecMakMan	Bellman, R.E. and Zadeh, L .A.	Decision-making in a managment	 
	Cha-ExFuzProUsFinStaMa	Chang, S .K .,	On the execution of fuzzy programs using finite state machines	 
	CheMor-AppFuzAlgAutTheCodThe	Cheng, S .C . and Mordeson, J.N .	Applications of fuzzy algebra in automata theory and coding theory	 
	Cin-ModTolFuzStaAut	Cin, M . D .	Modification tolerance of fuzzy-state automata,	 
	Coi-IntMonConDynPhysSys	Coiera, E	Intelligent monitoring and control of dynamic physiological systems,	 
	Dau-AnaErrFinAut	Dauber, P .S .	An analysis of errors in finite automata,	 
	Ede-HanPatRec	Eden, M .	Handwriting and pattern recognition,	 
	FuLi-ForLeaAutAutGam	Fu, K.S. and Li, T.J.,	Formulation of learning automata and automata games,	 
	Har-ErrCorCapFinAut	Harrison, M.A.	On the error of correcting capacity of finite automata,	 
	HwaLeeLee-GenFuzAccSynPattRec	Hwang, S.Y., Lee, H.S., and Lee, J.J.	General fuzzy acceptors for syntactic pattern recognition,	 
	MerEde-ExpComRecConHanWor	Mermelstein, P. and Eden . M .	Experiments on computer recognition of connected handwritten words,	 
	NikFu-AlgLeaExSupApLeaConSys	Nikolic, Z.J. and Fu, K.S.,	An algorithm for learning without external supervision and its application to learning control systems,	 
	Say-MacRecHanWorProjRep	Sayre, K.M.,	Machine recognition of handwritten words: A project report	 
	SteAdl-CliMonFuzAut	Steimann, F. and Adlassnig, K.,	Clinical monitoring with fuzzy automata	 
	Tho-FuzSynDirTra	Thomason, M .G.,	Fuzzy syntax-directed translations,	 
	Win-InpErrLimAut	Winograd, S	Input error limiting automata	 
	ChiCha+-FuzzLogConRolMomFleWinAir	S. Chiu, S. Chand, D. Moore, and A. Chaudhary,	Fuzzy logic for control of roll and moment for a flexible wing aircraft	 
	FranCha-FuzzLogBasTooAnaSynt	L. Franquelo and J. Chavez	Fasy: A fuzzy-logic based tool for analog synthesis	 
	Har-MulObjDecMakUncFuzLogMeth	T. L. Hardy	Multi-objective decision-making under uncertainty fuzzy logic methods	 
	Lee-FuzLocContSysFuzLogCont	C. Lee,	Fuzzy logic in control systems: Fuzzy logic controller	 
	YanKal-DesMachUsExpSysFuzLogApp	X. Yang and G. Kalambur	Design for machining using expert systém and fuzzy logic approach	 
	Wan-AdaFuzzSysConDesStaAna	L.-X. Wang	Adaptive Fuzzy Systems and Control: Design and Stability Analysis	 
	Cyb-AppBypSigmFun	G. Cybenko	Approximation by superpositions of a sigmoidal function	 
	CleeSchr-FinStaAutSimRecNet	A. Cleeremans, D. Servan-Schreiber, and J. McClelland	Finite state automata and simple recurrent networks	 
	DasMoz-UniGraDesCluArcFinStaMachInd	S. Das and M. Mozer	A unified gradient-descent/clustering architecture for finite state machine induction	 
	Elm-FinStruTim	J. Elman	Finding structure in time	 
	FraGorMagSod-RepFinStaAutRecRadBasFuNe	P. Frasconi, M. Gori, M. Maggini, and G. Soda	Representation of finite state automata in recurrent radial basis function networks	 
	GaiKoh-LogAut	B. Gaines and L. Kohout	The logic of automata	 
	OmlGil-ConDetFinStaAutRecNeuNet	C. Omlin and C. Giles	Constructing deterministic finite-state automata in recurrent neural networks	 
	OmlFil-StaEncLarFinStaAutRecNeuNetSigDisc	Omlin, Gilles	Stable encoding of large finite-state automata in recurrent neural networks with sigmoid discriminants	 
	Pol-IndDynRec	J. Pollack	The induction of dynamical recognizers	 
	Rab-ProbAut	M. Rabin	Probabilistic automata	 
	TinHomGil-FinStaMAchRecNeuNet+	P. Tino, B. Home, and C. L. Giles	Finite state machines and recurrent neural networks—Automata and dynamical systems approaches	 
	TinSaj-LeaExIniMeaMachModNeuNetMod	P. Tino and J. Sajda	Learning and extracting initial mealy machines with a modular neural network model	 
	UnaKha-FuzDFinStaMachImpBasNeuFuzSys	F. Unal and E. Khan	A fuzzy finite state machine implementation based on a neural fuzzy systém	 
	WatKuh-IndFinStaLangUsiSecOrdRecNet	R. Watrous and G. Kuhn	Induction of finite-state languages using second-order recurrent networks	 
	ZenGooSym-LeaFinStaMachSelCluRecNet	Z. Zeng, R. Goodman, and P. Smyth	Learning finite state machines with self-clustering recurrent networks	 
	GraPat-SynAnaFuzLogFinStaMacMod	J. Grantner and M. Patyra	Synthesis and analysis of fuzzy logic finite state machine models	 
	PalKin-ImaEnhUsiFuzSet	S. K. Pal, R. A. King	Image Enhancement Using Fuzzy Sets	 
	AlsAly-EdgDetDigImaIUsiFuzLogTech	Abdallah A. Alshennawy, and Ayman A. Aly	Edge Detection in Digital Images Using Fuzzy Logic Technique	 
	SinGha+HybrEdgDetMetFuzSetTheCelLeaAut	Saman Sinaie, Afshin Ghanizadeh, Siti Mariyam Shamsuddin	A Hybrid Edge Detection Method Based on Fuzzy Set theory and Cellular Learning Automata	 
	Yan-AdaFuzBasEdgDetAlg	Yong Yang	An adaptive fuzzy-based edge detection algorithm	 
	CheChe-ImprEdgDetNoiImaUsiFuzEnh	Xiangtao Chen, Yujuan Chen	An Improved Edge Detection in Noisy Image Using Fuzzy Enhancement	 
	SelHor-CelAutImaNoiFil	P. Jebaraj Selvapeter, Wim Hordijk	Cellular Automata for Image Noise Filtering	 
	Ha-MetEdgDetBasNonCellAut	Yan Ha	Method of edge detection based on Non-linear cellular Automata	 
	WhiEngInj-UsConsCelAuHiResModUrbLanUsDyn	White, R., Engelen, G., and Injee, I	The use of constrained cellular automata for high-resolution modelling of urban land use dynamics	 
	Zad-FuzLogNeuNetSofCom	L.A. Zadeh	Fuzzy logic, neural networks and soft computing	 
	Zad-FuzLogComWords	L.A. Zadeh	Fuzzy Logic Computing with Words	 
	Zad-ComNumComWord+	L.A. Zadeh	From computing with numbers to computing with words-From manipulation of measurements to manipulation of perceptions	 
	San-ProTurMaComp	E.S. Santos	Probabilistic Turing machines and computability	 
	WanQiu-ComWorTurMachForApp	H. Wang, D.W. Qiu	Computing with words via Turing machines: a formal approach	 
	Wet-ProbLangRevSomOpQue	C.S. Wetherell	Probabilistic languages: a review and some open questions	 
	Sal-ProbWeiGram	A. Salomaa	Probabilistic and weighted grammars	 
